Date,ScreenName,UserID,TweetID,Text,year,month
2018-10-31 23:11:00,mjaeckel,16841066,1057771954185351168,“Best street in the neighborhood!”My Halloween job is done. 😌,2018,10
2018-10-31 23:10:04,ucscgenomics,2699097006,1057771715957219328,"Ted Goldstein was a top exec at @Apple who became a cancer researcher, earning a Ph.D. with @UCSCGenomics Sci. Dir. David Haussler at @UCSC. Ted's inspired to tackle cancer the way software engineers approach difficult problems. #thinkucsc #thinkbsoe 🔬💻 https://t.co/JG5mCNRoBT",2018,10
2018-10-31 23:10:03,AndSplend,87748483,1057771713935671296,"On the value of data: how can we measure the relative ""value"" of two data assets? I have sketched some reflexions here: https://t.co/RRfgKttTa4Please feel free to contribute. I'll share back if something valuable comes out of it!#data #knowledgebase #datacuration #dataquality",2018,10
2018-10-31 23:08:11,rtraborn,37722615,1057771243141623808,Honest question: why did the Big Ten add Maryland as a new member? https://t.co/4dpr6KhTSZ,2018,10
2018-10-31 23:06:47,watsonhaigh,713192172,1057770889297584128,@wessidepraxis @BioplatformsAus How on earth did I miss that!!? 😂,2018,10
2018-10-31 22:57:02,carninci,107986772,1057768435797647361,My hotel in Boston is very close to the Red Sox baseball stadium. Red Sox have just won the World Series and there is a pilgrimage of fans and supporters to all the shops around. Feel their excitement!,2018,10
2018-10-31 22:56:37,benfulton,6836402,1057768333452496896,Why is this article getting play again? It's a year and a half old. https://t.co/rO0a7MpRJT,2018,10
2018-10-31 22:56:28,iamthelonenode,1107781652,1057768293413634048,@klsywd @genomecenter omg love this 😍,2018,10
2018-10-31 22:56:21,ProfSmyth,803477508,1057768266599403521,The Romans gave us the aqueduct but the Irish Celts invented Halloween https://t.co/qMfXtf16HA via @rte @SENCERnet @EugeneLang,2018,10
2018-10-31 22:56:07,ucscgenomics,2699097006,1057768207480745984,Today’s costume party was a spooktacular success! Happy Halloween 🎃 👻 and congratulations to all the winners! @UCSCGenomics ucscengineering @ucsc @ Jack Baskin School of Engineering https://t.co/zw9XaX6LTp,2018,10
2018-10-31 22:55:05,bxv_genomics,737940485977804800,1057767947018457089,Multiparameter cell characterization using nanofluidic technology facilitates real-time phenotypic and genotypic elucidation of intratumor heterogeneity https://t.co/aIKfIdSfB9,2018,10
2018-10-31 22:55:05,bxv_genomics,737940485977804800,1057767945516986368,Resistance Gene-Directed Genome Mining of 50 Aspergillus species https://t.co/jhI0PVf18e,2018,10
2018-10-31 22:55:04,bxv_genomics,737940485977804800,1057767944040546304,A complete Cannabis chromosome assembly and adaptive admixture for elevated cannabidiol (CBD) content https://t.co/KsaAUer7hy,2018,10
2018-10-31 22:55:04,bxv_genomics,737940485977804800,1057767942643900416,Integrated Cell Expression Toolkit for low input transcript profiling https://t.co/SOFdukwNE7,2018,10
2018-10-31 22:55:04,bxv_genomics,737940485977804800,1057767940873891840,A new class of constitutively active super-enhancers is associated with fast recovery of 3D chromatin loops https://t.co/ncwgJrSO9m,2018,10
2018-10-31 22:42:14,deannachurch,16174754,1057764711326932992,@chrisamiller congrats to you and the team!,2018,10
2018-10-31 22:41:34,sauce_lab,3547274787,1057764546704797697,Happy Halloween from @sauce_lab @UVABME ! https://t.co/D35U1iOOjK,2018,10
2018-10-31 22:41:21,wessidepraxis,20638697,1057764491415285760,@watsonhaigh @BioplatformsAus Adelaide one was a few months ago,2018,10
2018-10-31 22:39:04,stewartetcie,54426656,1057763917806526464,This goes far beyond simply stacking the deck. It's the bureaucratic equivalent of those Punch and Judy puppet shows where what sounds adversarial is actually just the puppeteer talking to himself.,2018,10
2018-10-31 22:39:04,stewartetcie,54426656,1057763916724396032,.@JusticeCanadaEN just filed its opening statement and the written evidence of all the government departments it represents as intervenors in @NEBCanada's reconsideration of the Trans Mountain pipeline application. Fifty documents.https://t.co/2qUh2MkaBh,2018,10
2018-10-31 22:28:05,hyphaltip,14324284,1057761150236995584,FungiTown - Episode 14: Halloween 2018 w/ our @MSAFungi colleagues Profs Marin Brewer @marintalbrew Andrew Miller @INHSillinois https://t.co/xdlxJhpjCh,2018,10
2018-10-31 22:28:01,Zannah_Du,81342210,1057761133313122304,"She said the ghost was tied to the floor below, and that the downstairs neighbour Dr Black (yes seriously) was so fed up with its shenanigans he'd called someone in to help move it along.",2018,10
2018-10-31 22:27:30,Rayili,67728319,1057761003600052224,READY LOL,2018,10
2018-10-31 22:27:15,watsonhaigh,713192172,1057760941113204738,@BioplatformsAus Are these the only locations for this event or will additional locations be announced?,2018,10
2018-10-31 22:25:14,Rayili,67728319,1057760432562339842,loading the dream daddy update.... I'M READING FOR THAT SECRET ENDING,2018,10
2018-10-31 22:24:07,aDNA_papers,2374920458,1057760151858335744,An ER-resident calcium binding protein modulates egress of malaria parasites from erythrocytes https://t.co/pKGPpMPZTE,2018,10
2018-10-31 22:13:41,klsywd,283611777,1057757526039552000,"The @genomecenter Halloween Symposium is great because students, post docs, profs, and Wookiees can all mingle and talk about science #GhostInTheGenome #Halloween #StarWarsli https://t.co/4zoaK9hWa1",2018,10
2018-10-31 22:12:51,LaneLabURI,622063303,1057757319193415686,Ready for Halloween. Why is no one visiting? https://t.co/QyeI6uTjpC,2018,10
2018-10-31 22:12:24,markzero,6938162,1057757204365934592,"Actually somehow forgot about Halloween for a bit while out shopping, until I saw a Pikachu getting a drink refill at @McAlistersDeli",2018,10
2018-10-31 22:12:14,DavidNohejl,25828942,1057757163374997504,"Sync you goddamn fitbit thingy, SYNC! Now! I command you!! 😠😠",2018,10
2018-10-31 22:12:04,Kevin_McKernan,33177553,1057757119083102209,Well done! Great to see the attention to detail required for good cannabis genomics. https://t.co/vznO6TmzPz,2018,10
2018-10-31 21:59:44,phylogeo,139020295,1057754017961410565,Congrats @EdinMifsud ! https://t.co/xSC5tBkiPA,2018,10
2018-10-31 21:57:54,pastpeak,23504701,1057753557242392576,Wow. So it *can* be done... https://t.co/ntVffBVgyK,2018,10
2018-10-31 21:57:22,omodekunrin,976310503,1057753423397949440,"Simple solution is for states to be granted freedom to tap resources within their control, how about a model where states feed federal government and not otherwise? https://t.co/AQVRXphSuD",2018,10
2018-10-31 21:56:51,hoffsbeefs,151772758,1057753292267249664,"Another study relying on a projection of a doubling of ghg from food to suggest we go vegetarian. And yet again, it's almost 2020 and enteric emissions aren't even close to the rate projected. Cc @drsplace https://t.co/IpgQKTVZSr",2018,10
2018-10-31 21:55:37,Zannah_Du,81342210,1057752982098468864,"The agent rang the doorbell and this exuberant woman came swooshing out. She shook my hand and looked intensely into my eyes, declaring ""You have such a beautiful aura!!"" That was a bit weird.She led us upstairs to the first floor flat in the old servants quarters.",2018,10
2018-10-31 21:55:34,trashystats,766200832140468224,1057752969767149569,#hexsticker Time https://t.co/PjjVbaNZUx,2018,10
2018-10-31 21:55:02,mtanichthys,56302593,1057752835696324610,"""The Illegal Wildlife Trade Is a Likely Source of Alien Species"": https://t.co/CUEC9wV8oM",2018,10
2018-10-31 21:53:48,mtanichthys,56302593,1057752523275206656,"Looked at zoo escapes and pet escapes. Birds most represented in dataset, but reptiles most stolen (from zoos). Number of escapes higher if the collection was larger. Pet escapes higher if species is cheaper. Rose-ringed parakeet is a cheap and numerous species, thus a concern.",2018,10
2018-10-31 21:53:25,intipedroso,267936512,1057752428781756416,5 people followed me and 4 people unfollowed me // automatically checked by https://t.co/PRY5guXKfx,2018,10
2018-10-31 21:44:46,stephen__doyle,4442240057,1057750252218994688,"Well done Sam, @shaaznerd, and collaborators from @latrobe , Accra, Burkina, with support from @WHO @TDRnews",2018,10
2018-10-31 21:44:46,stephen__doyle,4442240057,1057750250784468992,"The importance of Wolbachia is established and is being exploited as a drug target by @AWOL_Wolbachia . However, there is still much to learn about the intimate relationship between the worm and its bacterial symbiont.",2018,10
2018-10-31 21:44:46,stephen__doyle,4442240057,1057750249534562305,"The differences across life stages do identify some interesting questions surrounding how Wolbachia density is regulated, and what the mutualistic relationship truly is.",2018,10
2018-10-31 21:44:45,stephen__doyle,4442240057,1057750247542276096,"Considering the microfilaria dying in the skin are the major immunological target, and there is very little variation in Wolbachia copy number been microfilariae individuals, it seems further unlikely that Wolbachia density drives pathology variation.",2018,10
2018-10-31 21:44:45,stephen__doyle,4442240057,1057750246367916032,"SO.... this paper examines the Wolbachia density across microfilaria, L1, iL3, adult male and female life stages. Very little variation was found between samples from the immature stages, whereas the adult stages were highly variable.",2018,10
2018-10-31 21:44:45,stephen__doyle,4442240057,1057750244895678470,"HOWEVER... Sam showed in a much larger cohort sampled across a much larger range in Ghana that Wolbachia copy number per worm is extremely variable, and that the forest/savannah Wolbachia correlation did not hold. https://t.co/zt5MNtN3zk",2018,10
2018-10-31 21:44:44,stephen__doyle,4442240057,1057750243587055616,"One study identified a correlation between Wolbachia density and ecotype, with higher Wolbachia copy number in the savannah relative to the forest form. This sounds sensible - if Wolbachia are immunoreactive, MORE Wolbachia would be more immunoreactive, causing greater disease",2018,10
2018-10-31 21:44:44,stephen__doyle,4442240057,1057750242291056642,"For a long time, two ""ecotypes"" of O. volvulus have been described (of course, an oversimplification for many reasons, but that is not for now) - a forest form and a savannah form, with the latter causing much more disease.",2018,10
2018-10-31 21:44:44,stephen__doyle,4442240057,1057750240873406467,"The hypothesis is that worms (predominantly microfilaria) die in the skin, Wolbachia proteins are released, and the body reacts to this. Thus, it is not the worm itself, but the Wolbachia within, that causes disease.",2018,10
2018-10-31 21:44:43,glennklockwood,39569710,1057750240227352577,"The NESAP for Perlmutter call for proposals has also been announced (https://t.co/znYuCAwafL)--great opportunity for NERSC users to begin preparing for 2020 now.Also interesting from the CFP: ""early access to GPU nodes on Cori""",2018,10
2018-10-31 21:44:43,stephen__doyle,4442240057,1057750238344216576,There is an intriguing backstory to this work. Wolbachia are important intracellular symbionts of a number of filarial nematodes. A number of studies have made the link between the immunoreactivity of Wolbachia proteins and the disease presentation of onchocerciasis.,2018,10
2018-10-31 21:42:50,DemetriPerdikis,35728314,1057749763217612800,The latest Strategy &amp; Care! https://t.co/Y3S5PvnmWh Thanks to @IndeCardio @GearankMI @SafetyExpert_ #startup #business,2018,10
2018-10-31 21:42:38,chrisamiller,10054472,1057749713171238913,Really happy to see this one in print - it's been a several year project!,2018,10
2018-10-31 21:29:02,Zannah_Du,81342210,1057746291231461377,"This flat was extraordinary, ok. It was part of an old country manor house, miles from anything, that had been divvied up into apartments. Buckets of character, just my cup of tea, plus it had these beautiful communal gardens. And unbelievably, it was within our budget.",2018,10
2018-10-31 21:28:58,bioinformer,281031538,1057746274466889734,@sminot Gannet charts!,2018,10
2018-10-31 21:26:47,Bacterioskeptic,131921069,1057745724643966976,My wife just scared the living crap out of me with this. Happy Halloween everyone. https://t.co/p13UoZeHD3,2018,10
2018-10-31 21:24:28,aanaqvi,90016917,1057745141400813568,Of course I’m getting candy now for potential trick o’ treaters... #Halloween,2018,10
2018-10-31 21:23:25,jrossibarra,561297215,1057744876165488640,Lab Halloween photo with scary fang cookies by @mcstitzer. @Dr_Crushworth is there in spirit on the other end of the web conference. https://t.co/vtW9PU7h3j,2018,10
2018-10-31 21:14:17,Campbell_JD_PhD,1064850134,1057742580325253126,@PhilippBayer @PlantGDB True but just like I don't like promoting unsupported bioinformatic software -- I don't like promoting a database that is no longer maintained https://t.co/qA6VqC5nkC,2018,10
2018-10-31 21:13:06,Zannah_Du,81342210,1057742282324148226,"In the spirit of the #halloween season, gather round and I'll tell you a true spooky story that happened to me... 👻",2018,10
2018-10-31 21:12:21,LordGenome,19096042,1057742091961466885,World's longest DNA sequence decoded - BBC News2.3 Mbases FFS ⁦@mattloose⁩  https://t.co/a1cZOXFfpN,2018,10
2018-10-31 21:09:34,DrCarlsHorn,3945391754,1057741392611430400,Happy Halloween! A paper I’ve been trying to get published since before my daughter was born (she turned 2 this past week) has FINALLY been accepted @thePeerJ preprint is here: https://t.co/UbX4neXeCN,2018,10
2018-10-31 20:59:20,klsywd,283611777,1057738818269327360,"Efficient methylation - combo of recruiting multiple methylation pathway proteins is best (RdDM, siRNA, Pol V) -Steve Jacobsen #GhostInTheGenome #epigenomics",2018,10
2018-10-31 20:55:54,ERamosSD,14975652,1057737951801573376,Just spent 90 minutes with these #hallogene18 superstars talking bioinformatics! So they deserve a retweet for more than just their awesome costumes! #GCchat https://t.co/yVvj4Hnac5,2018,10
2018-10-31 20:55:28,FOAylward,1350675174,1057737845690040320,Exploring the Prokaryotic Community Associated With the Rumen Ciliate Protozoa Population https://t.co/2nbGsnxDO7,2018,10
2018-10-31 20:54:29,ksuhre,48969993,1057737596908924929,… here a great list of recent hand-curated #metabolomics papers - month-by-month https://t.co/Z9e8ONqTJG,2018,10
2018-10-31 20:54:16,amylase__,361828444,1057737541116461056,"Congrats, guys! https://t.co/RqmqvjqRuO",2018,10
2018-10-31 20:44:43,fluidigm,33360722,1057735139709648900,We’re delighted that Laura M. Clague has been named to Fluidigm’s Board of Directors and its audit committee. The Chief Financial Officer of Retrophin brings more than 30 years of experience as a senior financial executive. https://t.co/2EwGRDFyvV https://t.co/QslNVOP10J,2018,10
